Temps,Voie A,Voie B,Voie C
(ns),(mV),(mV),(mV)

1009000,0,1,0
1010000,0,0,1
1011000,0,0,1
1012000,0,1,0
1013000,-1,0,0
1014000,0,0,0
1015000,0,0,0
1016000,0,0,0
1017000,0,0,1
1018000,0,0,0
1019000,1,0,0
1020000,0,0,0
1021000,0,0,0
1022000,0,1,0
1023000,0,0,1
1024000,0,0,1
1025000,0,0,-1
1026000,1,0,0
1027000,1,0,1
1028000,0,1,0
1029000,0,0,0
1030000,-1,1,0
1031000,0,0,0
1032000,0,1,1
1033000,1,0,-1
1034000,0,0,0
1035000,0,0,0
1036000,0,1,0
1037000,0,0,1
1038000,0,0,-1
1039000,0,0,0
1040000,-1,0,0
1041000,0,1,0
1042000,0,0,0
1043000,0,0,0
1044000,0,0,0
1045000,0,0,0
1046000,0,0,1
1047000,0,0,1
1048000,0,0,0
1049000,1,0,1
1050000,0,0,0
1051000,-1,0,0
1052000,0,0,1
1053000,0,0,0
1054000,0,0,0
1055000,0,1,0
1056000,0,1,0
1057000,0,-1,0
1058000,0,0,1
1059000,0,0,0
1060000,0,1,0
1061000,0,1,0
1062000,0,1,0
1063000,-1,0,0
1064000,0,0,0
1065000,0,0,0
1066000,0,0,0
1067000,0,0,0
1068000,0,0,1
1069000,0,1,0
1070000,0,0,0
1071000,0,0,1
1072000,1,0,0
1073000,0,1,0
1074000,0,0,1
1075000,0,1,0
1076000,1,0,0
1077000,0,0,0
1078000,0,0,0
1079000,0,0,1
1080000,0,1,0
1081000,0,0,3
1082000,0,1,0
1083000,0,0,0
1084000,0,0,0
1085000,0,0,1
1086000,1,1,0
1087000,0,0,1
1088000,0,1,0
1089000,0,0,0
1090000,0,0,0
1091000,0,1,3
1092000,0,0,3
1093000,0,0,1
1094000,0,1,0
1095000,0,0,0
1096000,0,0,0
1097000,0,1,0
1098000,0,0,0
1099000,0,0,1
1100000,0,0,0
1101000,0,0,0
1102000,0,1,1
1103000,0,0,0
1104000,0,1,0
1105000,0,0,0
1106000,0,0,0
1107000,1,1,0
1108000,0,1,0
1109000,0,1,0
1110000,0,1,0
1111000,0,0,0
1112000,0,0,0
1113000,0,0,1
1114000,0,0,0
1115000,0,0,0
1116000,0,0,1
1117000,0,1,0
1118000,1,0,1
1119000,0,1,0
1120000,1,0,0
1121000,0,0,0
1122000,0,0,0
1123000,0,0,0
1124000,0,1,1
1125000,0,0,0
1126000,0,1,1
1127000,0,0,0
1128000,-1,0,0
1129000,1,0,0
1130000,0,1,0
1131000,0,0,0
1132000,0,1,1
1133000,0,0,1
1134000,0,1,0
1135000,0,0,0
1136000,0,0,0
1137000,1,1,1
1138000,0,1,1
1139000,0,0,0
1140000,0,0,1
1141000,0,0,0
1142000,0,0,0
1143000,0,0,0
