For each of the 4 Channels, results shown are....
Time interval Maximum Aggregated value ADC Count & mV, Minimum Aggregated value ADC Count & mV

Time   Ch  Max ADC    Max mV   Min ADC    Min mV   
 1952  ChA       0         0         0         0   
 1956  ChA       0         0         0         0   
 1960  ChA       0         0         0         0   
 1964  ChA       0         0         0         0   
 1968  ChA       0         0         0         0   
 1972  ChA       0         0         0         0   
 1976  ChA       0         0         0         0   
 1980  ChA       0         0         0         0   
 1984  ChA       0         0         0         0   
 1988  ChA       0         0         0         0   
 1992  ChA       0         0         0         0   
 1996  ChA       0         0         0         0   
 2000  ChA       0         0         0         0   
 2004  ChA       0         0         0         0   
 2008  ChA       0         0         0         0   
 2012  ChA       0         0         0         0   
 2016  ChA    -305         0         0         0   
 2020  ChA       0         0         0         0   
 2024  ChA       0         0         0         0   
 2028  ChA       0         0         0         0   
 2032  ChA       0         0         0         0   
 2036  ChA       0         0         0         0   
 2040  ChA       0         0         0         0   
 2044  ChA       0         0         0         0   
